O1_NUMORD,O1_NUMMOD,O1_FECORD,O1_DESCRP,O1_NUMPIE,O1_CANORD,O1_NOMTEL,O1_NUMCLI,O1_FECINI,O1_FECFIN,O1_INDINI,O1_INDFIN,O1_CLAAUT,O1_CLAGRA,O1_CLACOR,O1_CANCOR,O1_CLAMAQ,O1_PERMAQ,O1_TALLER,O1_FECMAQ,O1_CLAARM,O1_CANARM,O1_CANINC,O1_CLATER,O1_CANTER,O1_CLAEMB,O1_CLADET,O1_CONDET,O1_CLACAN,O1_CONCAN,O1_CLACOM,O1_LINRAP,O1_COSTOO
210,14241,11/01/2006,FALDA,1,454,BOAL BORDADO,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,454,S,ROSARIO,,08/03/2006,S,454.0,,S,452.0,N,N,,N,,N,N,105.30
211,1074,11/01/2006,BLUSON,1,456,BOAL RAYA SALMON C/DORADO,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,456,S,SILVIA RIVAS,,10/03/2006,S,456.0,,S,457.0,N,N,,N,,N,N,94.84
212,1003,11/01/2006,BLUSON,1,240,BOAL BORDADO C/LUREX PLAT,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,240,S,TITA,,07/04/2006,S,240.0,,S,240.0,N,N,,N,,N,N,78.23
213,1046,11/01/2006,BLUSON,1,456,BOAL BORD. LUREX DORADO,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,456,S,EDUCAR/SILVIA RIVAS,,10/04/2006,S,456.0,,S,455.0,N,N,,N,,N,N,79.01
214,1012,11/01/2006,BLUSA MANGA 3/4,1,456,POP. ST. CUADROS 6163,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,456,S,AMELIA,,02/03/2006,S,456.0,,S,456.0,N,N,,N,,N,N,94.72
215,14225,11/01/2006,SHORT CON CINTO,1,456,CANVAS STRETCH,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,456,S,RIC HDZ/ANGEL/ELISA,,10/04/2006,S,456.0,,S,456.0,N,N,,N,,N,N,81.74
216,14129,11/01/2006,FALDA CORTA,1,240,MEZCLILLA ST. LONG RING,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,240,S,JOAQUIN,,27/01/2006,S,239.0,,S,237.0,N,N,,N,,N,N,84.03
217,14145,11/01/2006,PANTALON,1,888,CANVASS STRETCH,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,888,S,TOMAS/VICT/TALLER,,26/04/2006,S,888.0,,S,888.0,N,N,,N,,N,N,112.02
218,14268,11/01/2006,CAPRI,1,888,GABARDINA ST. PACIFICO,710,01/04/2006,10/04/2006,20060401,20060410,S,S,S,948,S,BERTHA JAIME/ILEANA,,03/04/2006,S,944.0,,S,940.0,N,N,,N,,N,N,99.94
219,14296,13/01/2006,CAPRI,1,504,GABARDINA ST. FLY FLEX,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,504,S,RAFAEL MEDINA,,23/02/2006,S,504.0,,S,502.0,N,N,,N,,N,N,97.50
220,14182,13/01/2006,CAPRI,1,427,GABARDINA ST. 6 OZ.,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,427,S,GABY,,06/03/2006,S,427.0,,S,427.0,N,N,,N,,N,N,98.64
221,14298,13/01/2006,CAPRI,1,504,CANVAS STRETCH,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,504,S,MA. LUISA/ILEANA,,26/04/2006,S,504.0,,S,503.0,N,N,,N,,N,N,110.90
222,14155,13/01/2006,CAPRI,1,300,CANVAS STRETCH/SATIN LISO,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,300,S,TOMAS/OSWALDO/RICARD,,21/04/2006,S,300.0,,S,300.0,N,N,,N,,N,N,107.18
223,14177,13/01/2006,CAPRI,1,414,GABARDINA ST. 6 OZ.,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,414,S,RAFAEL MEDINA,,07/04/2006,S,414.0,,S,414.0,N,N,,N,,N,N,110.21
224,1070,13/01/2006,BLUSA MANGA CORTA,1,300,POPELINA HILO,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,300,S,ELISA,,14/03/2006,S,300.0,,S,300.0,N,N,FALTA DE TELA BCO,N,,N,N,105.93
225,1038,13/01/2006,BLUSA MANGA CORTA,1,300,POP. PRETEÑIDA CUADRO,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,300,S,AMELIA,,26/01/2006,S,300.0,,S,300.0,N,N,,N,,N,N,67.17
226,1072,13/01/2006,BLUSA,1,200,BOAL CUADRADO CON LUREX,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,198,S,EDUARDO,,24/01/2006,S,200.0,,S,200.0,N,N,,N,,N,N,63.22
227,1085,13/01/2006,BLUSA MANGA CORTA,1,200,BOAL CUADRADO CON LUREX,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,198,S,LAURA,,15/02/2006,S,198.0,,S,197.0,N,N,,N,,N,N,71.72
228,1028,13/01/2006,BLUSA MANGA CORTA,1,300,POPELINA ST. CUADRO UFI,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,300,S,ERNESTO,,27/03/2006,S,300.0,,S,300.0,N,N,,N,,N,N,79.18
229,1004,13/01/2006,BLUSON CON TIRANTES,1,300,BOAL BORDADO EKB/POP.HILO,117,10/02/2006,20/02/2006,20060210,20060220,S,S,S,300,S,ERNESTO SUSARREY,,04/04/2006,S,296.0,,S,296.0,N,N,,N,,N,N,67.00
230,14239,16/01/2006,FALDA,1,144,POPELINA HILO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,ANA ROSA,,02/03/2006,S,144.0,,S,142.0,N,N,,N,,N,N,81.45
231,7975,16/01/2006,BLUSON CON TIRANTES,1,144,POPELINA HILO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,FELIPE,,23/01/2006,S,144.0,,S,144.0,N,N,,N,,N,N,63.31
232,1070,16/01/2006,BLUSA MANGA CORTA,1,198,POPELINA HILO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,198,S,LAURA,,19/04/2006,S,198.0,,S,197.0,N,N,,N,,N,N,107.70
233,1009,16/01/2006,BLUSON MANGA 3/4,1,144,POPELINA HILO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,GABY,,17/02/2006,S,144.0,,S,144.0,N,N,,N,,N,N,78.44
234,1036,16/01/2006,BLUSON MANGA 3/4,1,144,BOAL RAYA LUREX POP.886,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,GABY,,15/03/2006,S,144.0,,S,142.0,N,N,,N,,N,N,81.19
235,1056,16/01/2006,TORERA MANGA 3/4,1,144,POP.ST.LISA/BOAL BORDADO,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
236,1073,16/01/2006,BLUSON MANGA 3/4,1,144,BOAL CON RAYA LUREX DELGA,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,EDUCAR,,17/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,74.30
237,7724,16/01/2006,BLUSA SIN MANGA,1,144,BOAL DESAHUJADO POP.811,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,ERNESTO,,23/01/2006,S,148.0,,S,148.0,N,N,,N,,N,N,59.61
238,7934,16/01/2006,BLUSA SIN MANGA,1,144,BOAL BORD.LX ORO16503-E52,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
239,7998,16/01/2006,BLUSON CON TIRANTES,1,144,POP HILO/BOAL RAYA LX 886,998,15/02/2006,28/02/2006,20060215,20060228,S,S,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
240,8635,16/01/2006,PLAYERA SIN MANGAS,1,144,ALGODON RIB,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,159,S,SUSARREY,,31/01/2006,S,159.0,,S,158.0,N,N,,N,,N,N,47.35
241,14147,16/01/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,136,S,JOAQUIN,,27/03/2006,S,136.0,,S,136.0,N,N,,N,,N,N,120.79
242,14155,16/01/2006,CAPRI,1,144,CANVAS ST/SATIN ESTAMPADO,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
243,14180,16/01/2006,CAPRI,1,144,MEZCLILLA ST. LONG RING,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,JOAQUIN,,23/01/2006,S,144.0,,S,143.0,N,N,,N,,N,N,90.75
244,14182,16/01/2006,CAPRI,1,144,GBARDINA ST. 6 OZ.,998,15/02/2006,28/02/2006,20060215,20060228,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
245,14183,16/01/2006,CAPRI,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
246,14185,16/01/2006,SHORT,1,144,CANVAS STRETCH,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
247,14189,16/01/2006,CAPRI,1,144,GABARDINA ST. 6 OZ.,998,15/02/2006,28/02/2006,20060215,20060228,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
248,14202,16/01/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
249,14215,16/01/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
250,14216,16/01/2006,CAPRI,1,120,LINO DE ALGODON,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,88,S,HERMINIA,,01/02/2006,S,88.0,,S,88.0,N,N,,N,,N,N,112.70
251,14223,16/01/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
252,14227,16/01/2006,SHORT,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,N,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
253,14229,16/01/2006,SHORT,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,147,S,SERGIO,,10/03/2006,S,150.0,,S,150.0,N,N,,N,,N,N,96.49
254,14254,16/01/2006,PANTALON,1,144,CANVAS STRETCH,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
255,14258,16/01/2006,PANTALON,1,144,GABARDINA ST. PACIFICO,998,15/02/2006,28/02/2006,20060215,20060228,S,S,S,144,S,GRISELDA,,16/03/2006,S,144.0,,S,143.0,N,N,,N,,N,N,107.50
256,1017,16/01/2006,BLUSA CON TIRANTES,1,144,BOAL ESCARCHA,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
257,1072,19/01/2006,BLUSA MANGA CORTA,1,150,BOAL CUADRADO CON LUREX,998,15/02/2006,28/02/2006,20060215,20060228,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
258,1046,27/01/2006,BLUSON SIN MANGAS,1,1149,BOAL EST.C/LUREX/POP.HILO,101,01/02/2006,10/02/2006,20060201,20060210,S,S,S,1149,S,CUCA,,01/02/2006,S,1139.0,,S,1139.0,N,N,,N,,N,S,70.66
259,1046,27/01/2006,BLUSON SIN MANGAS,1,1151,BOAL BORD. LUREX/POP.HILO,101,01/02/2006,10/02/2006,20060201,20060210,S,S,S,1253,S,AMEL/TALL/VICKY,,22/02/2006,S,1255.0,,S,1255.0,N,N,,N,,N,S,80.75
260,7995,08/02/2006,BLUSA M/C CON LENTEJUELA,1,336,POPELINA HILO,296,28/02/2006,03/03/2006,20060228,20060303,S,S,S,336,S,AMELIA,,21/02/2006,S,339.0,,S,339.0,N,N,,N,,N,N,62.79
261,7995,08/02/2006,BLUSA M/C CON LENTEJUELA,1,336,POPELINA HILO,296,06/03/2006,10/03/2006,20060306,20060310,S,S,S,336,S,AMELIA,,16/02/2006,S,336.0,,S,336.0,N,N,,N,,N,N,62.77
262,7995,08/02/2006,BLUSA M/C CON LENTEJUELA,1,336,POPELINA HILO,296,13/03/2006,17/03/2006,20060313,20060317,S,S,S,336,S,AMELIA,,16/02/2006,S,336.0,,S,336.0,N,N,,N,,N,N,62.35
263,7995,08/02/2006,BLUSA M/C CON LENTEJUELA,1,336,POPELINA HILO,296,20/03/2006,24/03/2006,20060320,20060324,S,S,S,196,S,AMELIA,,16/02/2006,S,196.0,,S,196.0,N,N,,N,,N,N,64.26
264,1028,08/02/2006,BLUSA M/C CON LENTEJUELA,1,522,POP. ST. CUADRO 6163 UFI,296,28/02/2006,03/03/2006,20060228,20060303,S,S,S,522,S,EDUARDO,,16/02/2006,S,522.0,,S,522.0,N,N,,N,,N,N,91.10
265,1028,08/02/2006,BLUSA M/C CON LENTEJUELA,1,522,POP. ST. CUADRO 6163 UFI,296,06/03/2006,10/03/2006,20060306,20060310,S,S,S,522,S,IRMA,,16/02/2006,S,522.0,,S,522.0,N,N,,N,,N,N,91.36
266,1028,08/02/2006,BLUSA M/C CON LENTEJUELA,1,522,POP. ST. CUADRO 6163 UFI,296,13/03/2006,17/03/2006,20060313,20060317,S,S,S,522,S,IRMA,,16/02/2006,S,522.0,,S,517.0,N,N,,N,,N,N,91.25
267,1028,08/02/2006,BLUSA M/C CON LENTEJUELA,1,522,POP. ST. CUADRO 6163 UFI,296,20/03/2006,24/03/2006,20060320,20060324,S,S,S,522,S,ERNESTO,,16/02/2006,S,522.0,,S,522.0,N,N,,N,,N,N,90.39
268,14234,08/02/2006,FALDA,1,447,BOAL PLIZ/BOAL BOR LUR PL,296,24/02/2006,03/03/2006,20060224,20060303,S,S,S,447,S,MA.TORRES/HILDA,,21/02/2006,S,447.0,,S,447.0,N,N,,N,,N,N,95.17
269,14234,08/02/2006,FALDA,1,447,BOAL PLIZ/BOAL BOR LUR PL,296,28/02/2006,03/03/2006,20060228,20060303,S,S,S,447,S,MA. TORRES / HILDA,,01/03/2006,S,443.0,,S,446.0,N,N,,N,,N,N,91.88
270,14234,08/02/2006,FALDA,1,447,POP.HILO/BOAL BOR LUR PLA,296,06/03/2006,10/03/2006,20060306,20060310,S,S,S,447,S,ROSARIO,,23/02/2006,S,447.0,,S,446.0,N,N,,N,,N,N,88.34
271,14234,08/02/2006,FALDA,1,447,POP.HILO/BOAL BOR LUR PLA,296,13/03/2006,17/03/2006,20060313,20060317,S,S,S,447,S,HILDA,,13/03/2006,S,447.0,,S,447.0,N,N,FALTA DE TELA BCO,N,,N,N,88.75
272,14234,08/02/2006,FALDA,1,447,POP.HILO/BOAL BOR LUR PLA,296,20/03/2006,24/03/2006,20060320,20060324,S,S,S,447,S,LOLA/HILDA,,14/03/2006,S,447.0,,S,447.0,N,N,FALTA DE TELA BCO,N,,N,N,91.06
273,14208,08/02/2006,FALDA,1,299,POP.HILO/BOAL BOR LUR PLA,296,28/02/2006,03/03/2006,20060228,20060303,S,S,S,299,S,GUTIERREZ,,23/02/2006,S,301.0,,S,300.0,N,N,,N,,N,N,111.41
274,14208,08/02/2006,FALDA,1,299,POP.HILO/BOAL BOR LUR PLA,296,06/03/2006,10/03/2006,20060306,20060310,S,S,S,299,S,GUTIERREZ,,06/03/2006,S,299.0,,S,299.0,N,N,,N,,N,N,109.44
275,14208,08/02/2006,FALDA,1,299,POP.HILO/BOAL BOR LUR PLA,296,13/03/2006,17/03/2006,20060313,20060317,S,S,S,299,S,AMELIA,,27/02/2006,S,299.0,,S,292.0,N,N,,N,,N,N,112.79
276,14208,08/02/2006,FALDA,1,299,POP.HILO/BOAL BOR LUR PLA,296,20/03/2006,24/03/2006,20060320,20060324,S,S,S,299,S,AMELIA,,06/03/2006,S,299.0,,S,299.0,N,N,,N,,N,N,110.95
277,1045,08/02/2006,BLUSA CON TIRANTES,1,169,GAB.PACIFICO/POP.HILO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,GABY,,24/03/2006,S,169.0,,S,168.0,N,N,,N,,N,N,74.70
278,2256,08/02/2006,VESTIDO CON TIRANTES,1,143,POP.HILO/ BOAL BORDADO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,143,S,PEDRO OSORIO,,06/03/2006,S,143.0,,S,143.0,N,N,,N,,N,N,107.36
279,2262,08/02/2006,VESTIDO SIN MANGAS,1,143,BOAL MAQUINILLA/POP.HILO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,143,S,ROSARIO,,15/03/2006,S,143.0,,S,143.0,N,N,,N,,N,N,134.64
280,14121,08/02/2006,FALDA,1,169,BOAL MAQUINILLA/POP.HILO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,TITA,,17/03/2006,S,169.0,,S,169.0,N,N,FALTA DE TELA,N,,N,N,113.69
281,14158,08/02/2006,FALDA CORTA,1,169,MEZC.LONG RING/BOAL ESCAR,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,BERTHA,,08/03/2006,S,169.0,,S,169.0,N,N,,N,,N,N,100.69
282,14163,08/02/2006,FALDA,1,169,POPELINA HILO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,EDUCAR,,03/03/2006,S,169.0,,S,169.0,N,N,,N,,N,N,73.89
283,14166,08/02/2006,FALDA CORTA,1,169,GABARDINA PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,EDUCAR,,01/03/2006,S,169.0,,S,169.0,N,N,,N,,N,N,79.27
284,14172,08/02/2006,FALDA CORTA,1,169,POPELINA HILO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,ROSA,,24/02/2006,S,169.0,,S,169.0,N,N,,N,,N,N,61.24
285,14239,08/02/2006,FALDA,1,169,POPELINA HILO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,ANA ROSA,,08/03/2006,S,169.0,,S,169.0,N,N,,N,,N,N,85.69
286,14240,08/02/2006,FALDA,1,169,BOAL CON DOBY 101 C/LUREX,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,169,S,ROSA ELENA,,09/03/2006,S,169.0,,S,169.0,N,N,,N,,N,N,122.14
287,14177,08/02/2006,CAPRI,1,208,GAB. ST. 6OZ. PORCELANA,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,FELIPE,,23/02/2006,S,208.0,,S,208.0,N,N,,N,,N,N,119.90
288,14199,08/02/2006,CAPRI,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,JOAQUIN,,17/02/2006,S,208.0,,S,208.0,N,N,,N,,N,N,110.22
289,14218,08/02/2006,CAPRI,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,ANGELICA,,20/02/2006,S,208.0,,S,208.0,N,N,,N,,N,N,103.86
290,14219,08/02/2006,CAPRI,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,ELIZABETH,,17/02/2006,S,208.0,,S,208.0,N,N,,N,,N,N,115.59
291,14237,08/02/2006,CAPRI,1,208,CANVAS ST. / POP.RALLAS,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,VICTORIA,,15/03/2006,S,208.0,,S,208.0,N,N,,N,,N,N,114.75
292,14146,08/02/2006,PANTALON,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,LUCILA,,17/03/2006,S,208.0,,S,208.0,N,N,,N,,N,N,115.91
293,14147,08/02/2006,PANTALON,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,LUCILA,,24/03/2006,S,208.0,,S,208.0,N,N,,N,,N,N,123.37
294,14174,08/02/2006,PANTALON,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,ANA MARIA,,21/02/2006,S,206.0,,S,208.0,N,N,,N,,N,N,116.85
295,14203,08/02/2006,PANTALON,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,ARMINDA,,24/02/2006,S,207.0,,S,208.0,N,N,,N,,N,N,124.63
296,14204,08/02/2006,PANTALON,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,GILBERTO,,21/02/2006,S,207.0,,S,207.0,N,N,,N,,N,N,116.36
297,14251,08/02/2006,PANTALON,1,208,GABARDINA ST. PACIFICO,413,15/03/2006,31/03/2006,20060315,20060331,S,S,S,208,S,BERTHA,,15/03/2006,S,208.0,,S,208.0,N,N,,N,,N,N,114.78
298,1003,14/02/2006,BLUSON SIN MANGAS,1,144,POP. HILO/BOAL BORD L PLA,991,01/03/2006,31/03/2006,20060301,20060331,S,N,N,0,N,,,,N,0.0,,N,0.0,N,N,,S,FUERA DE TIEMPO,N,N,0.00
299,1007,14/02/2006,BLUSA MANGA CORTA,1,144,BOAL RAYA COLORES CON LUR,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,128,S,PEDRO CRUZ,,31/03/2006,S,128.0,,S,128.0,N,N,,N,,N,N,79.95
300,1012,14/02/2006,BLUSA MANGA 3/4,1,144,POP. ST. CUADROS UFI,991,01/03/2006,31/03/2006,20060301,20060331,S,S,S,144,S,EDUARDO,,10/03/2006,S,144.0,,S,144.0,N,N,,N,,N,N,98.47
